dataset_id,title,linked_publication,doi,design,groups,n_subjects,matrix,instrument,acquisition,chromatography,country,institution,sex,age,health_status,body_site,country_cov,extra_info,keep_for_ratio,reason,notes_curation,within_study_contrast
MSV000085256,High-resolution metabolomics of Alzheimer's disease in plasma and CSF,"Soltow et al., Alzheimers Dement 2020 (PMC6952314)",10.1002/alz.12035,"Case-control: AD (n=50), MCI (n=45), healthy controls (n=41) - Study 1; AD (n=50) + controls (n=18) - Study 2",AD / MCI / healthy control,~154 (Study 1+2 combined),Blood plasma + CSF,Q Exactive (Thermo),DDA,RP-C18,USA,Emory University,Yes (97.9%),Yes (95.9%),Yes (100%),Yes (100%),0% - missing from Pan-ReDU,CSF also available - rare in public repos. MWAS framework used. Piperine reduced in AD; glutamine elevated.,TRUE,"Plasma + CSF, RP-LC-MS, DDA, rich metadata. Contributes to ratio meta-analysis AND has a clean case/control for within-study layer.",Country=USA inferred from institution (Emory); Pan-ReDU Country field is empty - manually annotate as USA,AD vs MCI vs healthy (case/control)
MSV000088255,Urinary metabolomics of stroke recovery (NMR-based UCAN project),"Bykowski et al., Metabolites 2024 (PMC10972298)",10.3390/metabo14030145,Longitudinal: acute stroke (2-11 days) vs chronic stroke (6 months) - same subjects,acute / chronic (within-subject),~100 (all chronic stroke),Urine,LC-MS instrument unknown + 700 MHz NMR (separate files - filter by file extension),LC-MS (positive mode RP-C18) + NMR - use LC-MS files only,RP-C18 (LC-MS component); NMR separate,Canada,"University of Lethbridge, Canada",Yes (100%),Yes (100%),Yes - chronic stroke (100%),Yes (100%),100%,Mixed NMR + LC-MS deposit. LC-MS component is reversed-phase positive mode. Stroke cohort: acute (2-11 days) vs chronic (6 months) within-subject design. Has smoking (ATTRIBUTE_Smoking) and alcohol (ATTRIBUTE_Alchohol) metadata - rare in Pan-ReDU.,TRUE,LC-MS subset is RP positive mode. Contributes to ratio analysis. Within-subject acute/chronic and smoking/alcohol stratification available.,"KEEP LC-MS ONLY. Filter files by extension: keep .mzML/.mzXML, exclude NMR formats. No case/control (all chronic stroke) so presence/absence only unless timepoint contrast (acute vs chronic) is usable. Smoking and alcohol metadata are available - useful covariates.",acute vs chronic stroke (paired) + smoking/alcohol covariates
MSV000092754,"Chagas disease cohort - plasma metabolomics (longitudinal, 2 visits)",Dorrestein/Garg lab Chagas cohort (linked via MSV),TBD - check MassIVE page,"Longitudinal Chagas cohort: seropositive vs seronegative, staged by cardiac involvement (A/B/EF), progression group (stable/progressor)",seroneg / seropos: stage A / stage B / stage EF; stable vs progressor,~84 (two time points each),Plasma,Unknown - check MassIVE page,Unknown - check MassIVE page,Unknown - check MassIVE page,Brazil (inferred from Chagas disease context),Unknown,Yes (100%),Yes (100%),Yes - p_diagnosis_at_earliest_visit (100%),No,No - infer Brazil,Very rich echocardiography + ECG metadata. Duplicate of MSV000092757 (same cohort - see notes). Two time points: earliest and latest visit. Rich cardiac phenotyping data.,TRUE,Duplicate of MSV000092757. Pick one before processing.,MSV000092754 and MSV000092757 appear to be the same cohort re-deposited. Verify on MassIVE page. Keep only ONE. MSV000092757 has metadata_2.csv with file-level group assignments - probably more complete. Prefer MSV000092757 unless instrument info differs.,Chagas seropositive vs seronegative; progressor vs non-progressor
MSV000092757,Chagas disease cohort - plasma metabolomics (preferred over MSV000092754),Same as MSV000092754,TBD,4-group: inf_non (n=92) / inf_prog (n=37) / uninf_non (n=13) / uninf_prog (n=3) + QC (n=17) + blank (n=14),infected non-progressor / infected progressor / uninfected non-progressor / uninfected progressor,~145 biological samples,Plasma,Unknown - check MassIVE page,Unknown - check MassIVE page,Unknown - check MassIVE page,Brazil (inferred),Unknown,Yes (98.4%) - ATTRIBUTE_sex in metadata_2.csv,Yes (98.4%) - age in metadata_2.csv,Yes - ATTRIBUTE_status (98.9%) in metadata_2.csv,No,No - infer Brazil,metadata_2.csv has file-level group assignments (key for the pipeline). Progressor/non-progressor contrast is the biologically interesting one.,TRUE,Brazilian/Latin American cohort = unique geographic coverage. Rich clinical phenotyping.,USE THIS over MSV000092754. Join metadata_2.csv by filename to get per-sample group. Confirm acquisition mode before downloading.,4-group: inf_non / inf_prog / uninf_non / uninf_prog
MSV000094097,"Anti-inflammatory diet intervention in knee OA - multi-matrix (plasma, saliva, stool)","Guma lab, Nutrients 2025 - ITIS diet pilot, NCT05559463 (PMID from MDPI)",10.3390/nu17172729,4-week open-label pilot: before/after anti-inflammatory (ITIS) diet in 20 knee OA patients. Responders (n=8) vs non-responders (n=12).,before / after diet; responder / non-responder,20 patients x multiple timepoints x multiple matrices,Blood plasma + saliva + stool (3 matrices),Unknown - likely QTOF or Orbitrap; check MassIVE page,DDA (implied by GNPS upload),RP-LC-MS (implied),USA (UCSD / Mt Sinai),UCSD and Icahn School of Medicine at Mount Sinai,54.5% in Pan-ReDU (partial - QC/blanks missing),54.5% in Pan-ReDU (same issue),66% - HealthStatus + ATTRIBUTE_Diet,100% - SampleType,100% - USA,"4-week ITIS anti-inflammatory diet pilot (NCT05559463), 20 knee OA patients, published Nutrients 2025 (doi:10.3390/nu17172729). Multi-matrix = plasma + saliva + stool, each collected before and after intervention. Responders (n=8) vs non-responders (n=12) is secondary contrast. Microbiome data also deposited (PRJNA1159155) but not needed here. This is the only multi-matrix dataset in D_both - unique opportunity to compare omeprazole/5-OH-OMP ratio across biofluids in the same subjects.",TRUE,Multi-matrix paired design. Each matrix asks a different biological question. Highest power within-study contrast.,"KEEP ALL MATRICES - process separately per matrix. Plasma: parent/metabolite ratio (CYP2C19 signal). Saliva: oral bioavailability / first-pass angle. Stool: gut-microbial transformation angle. Before/after design is paired within-subject = most powerful statistical design in the collection. Separate files by SampleType column. Note that with only n=20 subjects, power for between-subject contrasts (responder vs non-responder) is low - focus on within-subject before/after ratio change.",Before vs after diet (paired within-subject); responder vs non-responder
MSV000095143,Anti-inflammatory diet OA - companion/reupload of MSV000094097,Same as MSV000094097,10.3390/nu17172729,"Same as MSV000094097 - same cohort, possibly different acquisition or file format",Same,Same,Same,Unknown,Unknown,Unknown,USA,UCSD / Mt Sinai,54.50%,54.50%,66%,100%,100%,"Identical metadata structure to MSV000094097. May be negative or positive mode companion, or a re-processed version.",FALSE,Likely polarity companion or re-upload. Resolve before processing.,"Check MassIVE page: if this is the negative mode companion to MSV000094097 (positive), keep both and analyse separately by polarity. If it is a re-upload of the same files, keep only MSV000094097.",Same as MSV000094097
MTBLS11656,COVID-19 severity metabolomics - plasma (cohort 2),TBD - check MetaboLights page,TBD,3-group: Healthy Control (n=45) / Mild COVID (n=45) / Severe COVID (n=39),Healthy / Mild / Severe,129 (+ 10 missing factor),Plasma,Unknown - check MetaboLights page,Unknown,Unknown,Unknown,Unknown,No,No,Yes - Factor Value[Cohort] (92.8%),Yes - Characteristics[Organism part] (100%),No,Clean 3-group design. Pairs with MTBLS1866 as two independent COVID cohorts - replication value. Severity gradient is the key variable.,TRUE,3-group COVID severity. Pairs with MTBLS1866 as replication.,"Check acquisition mode on MetaboLights. Check if instrument/chromatography is RP-LC-MS DDA. If yes, pair with MTBLS1866 as replicated COVID analysis.",COVID severity: Healthy / Mild / Severe
MTBLS1866,COVID-19 severity metabolomics - plasma (cohort 1),"Barberis et al., Int. J. Mol. Sci. 2020, 21, 8623 (PMC7696386)",10.3390/ijms21228623,"5-group: COVID-19 non-critical (n=84) / COVID-19 critical/ICU (n=19) / non-COVID non-critical (n=20) / non-COVID critical/ICU (n=12) / healthy controls (n=26); total n=161 (paper) / 157 (s-file)",COVID / ICU-COVID / non-COVID / healthy / ICU,157,Blood plasma,Q Exactive Plus (from assay file),DDA (implied by assay format),RP-C18 (from assay file),"Italy (paper - Novara University Hospital, March-April 2020)",Novara University Hospital,per-group aggregate only - paper Table 1 (M/F per arm) - NOT per-file mappable,per-group aggregate only - paper Table 1 (mean±SD per arm) - NOT per-file mappable,Yes - Comment[Patient status] (100%) - 5 levels match paper groups exactly,Yes - Characteristics[Organism part] (100%),Yes - constant Italy from paper (per-dataset),"Q Exactive Plus + RP-C18 = excellent for drug detection. 5-group granularity. ICU subgroup adds severity gradient. Pairs with MTBLS11656 for replication. Paper Tables S1-S4 are lipid/metabolite tables - no per-patient demographics supplementary. Only treatment recorded: hydroxychloroquine in ICU-COVID arm; omeprazole/PPI use NOT documented (incidental exposure only).",TRUE,Q Exactive Plus RP-C18 DDA. Best instrument quality. Priority dataset.,"PRIORITY DATASET. Q Exactive Plus RP-C18 DDA = best conditions for omeprazole detection. Use as the primary COVID cohort. Pair MTBLS11656 as replication cohort. subject_id = Source Name = Sample Name (1:1 in s-file, no replicates in assay).",5-group: COVID / ICU-COVID / non-COVID / healthy / ICU non-COVID
MTBLS2746,Cardiotoxicity drug study - iPSC-cardiomyocytes + plasma (Sunitinib/KU60648),TBD - check MetaboLights page,TBD,"Drug-treatment time course: Sunitinib vs KU60648 vs control at multiple timepoints (1,2,4,6,8,15,24h) in iPSC-cardiomyocytes and human plasma",control / Sunitinib / KU60648 x timepoint,Multiple cell culture + plasma samples,Human iPSC-cardiomyocytes + blood plasma + heart tissue,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Yes (100%),No,"This is a DRUG TREATMENT STUDY - the MASST hits are almost certainly due to omeprazole being present as a reference standard or contaminant in the drug-treated cell culture media, NOT from biological patient exposure. Analogous to ST001715 (xenobiotic reference library).",FALSE,"Drug-treatment cell culture experiment. MASST hits are artefacts of compound exposure, not biological observations. Pipeline-incompatible.",EXCLUDE. Log as false-positive category in methods: 'drug-treatment laboratory study'. The plasma component may have real human samples but mixed with cell culture. Do not process.,N/A
ST001715,Xenobiotic enzyme activity reference dataset - large-scale in vitro compound panel,Unknown - check Metabolomics Workbench,TBD,In vitro: each sample is a different compound dosed into an enzyme system. Factor = Precursor (compound name). 1232 samples = ~1232 different compounds.,N/A - each sample is a different compound,Not applicable,In vitro enzyme assay (liver microsomes or similar),Unknown,Unknown,Unknown,N/A,Unknown,N/A,N/A,N/A,N/A,N/A,MASST hits here mean omeprazole (or an isobar) was in the compound panel tested. This is a library/reference study analogous to MTBLS2746.,FALSE,In vitro xenobiotic reference library. Not a biological cohort. Pipeline-incompatible.,EXCLUDE. Log as false-positive category: 'in vitro reference/screening study'.,N/A
